5,1053,181,432.49
5,1166,4950,388.53
5,1692,1346,20.33
5,530,1296,494.65
5,1631,1479,248.51
5,1359,287,470.38
5,1717,4273,495.61
5,838,1872,183.74
5,1107,4342,456.27
5,576,35,258.17
5,443,4966,144.17
5,693,3722,386.12
5,1311,4547,316.32
5,1783,1007,465.68
5,142,2498,361.77
5,1067,4219,461.18
5,417,510,158.12
5,335,3285,373.09
5,1091,1830,460.87
5,975,2133,169.60
5,714,3345,286.12
5,117,894,181.55
5,414,1435,161.78
5,1239,428,327.26
5,664,4777,494.70
5,1277,365,244.56
5,1469,507,443.66
5,1113,2999,133.07
5,1013,1312,412.70
5,320,100,468.01
5,742,2434,47.92
5,1087,4685,430.51
5,1253,3569,363.85
5,1688,2256,320.00
5,504,4546,313.63
5,1347,2479,423.42
5,439,3632,124.93
5,1687,2784,166.90
5,860,215,445.08
5,1436,4903,97.72
5,1982,808,113.30
5,575,33,411.18
5,572,4834,411.69
5,327,3458,229.11
5,1590,399,41.40
5,1004,4514,448.65
5,987,2914,477.62
5,1753,4485,55.38
5,1851,2064,282.37
5,1966,3909,361.15
5,1757,2238,280.42
5,679,976,417.69
5,86,2655,104.77
5,1925,4545,280.75
5,1473,3725,147.56
5,991,3370,46.76
14,1737,195,408.49
14,620,3825,162.73
14,222,4680,123.37
14,1108,1916,94.24
14,325,511,420.23
14,1157,2661,16.78
14,1345,3416,336.33
14,741,1824,243.08
14,775,3874,45.86
14,1537,4640,387.16
14,1340,2530,448.19
14,1660,969,472.04
14,947,209,431.10
14,887,1111,459.89
14,449,394,472.69
14,1217,2914,349.50
14,700,667,428.90
14,1133,3460,268.35
14,1717,1532,267.30
14,111,4024,434.27
14,652,4048,458.86
14,1032,3973,301.53
14,654,2460,296.35
14,793,2112,230.63
14,148,3794,338.82
14,563,3327,358.45
14,377,3093,42.41
14,1799,2015,313.14
14,739,4117,249.75
14,500,300,322.42
14,1327,4857,432.24
14,24,3862,124.02
14,10,3456,374.34
14,436,2316,59.90
14,656,3675,112.47
14,1812,802,406.21
14,1160,238,170.54
14,1281,2692,417.07
14,35,2202,51.18
14,1735,1976,437.89
14,746,2456,112.05
14,770,522,418.73
14,1303,2370,324.68
14,334,4955,308.87
14,644,241,37.03
14,66,611,63.81
14,456,2578,96.77
14,484,976,425.73
14,233,837,61.50
14,769,1265,46.47
14,136,3540,426.14
14,57,4547,18.77
14,384,1314,11.24
14,852,1116,492.23
14,1733,4040,367.15
14,1546,670,245.26
