"0","34","354.60","5636","En Route","2022-01-08 13:53:43"
"1","90","292.44","2169","En Route","2009-07-20 12:51:13"
"2","7","31.20","3467","En Route","1972-03-07 09:42:49"
"3","38","73.16","3919","Returned","1978-07-05 03:10:59"
"4","0","240.51","6687","Ordered","2015-11-05 13:04:35"
"5","77","104.42","1548","Ordered","2000-02-02 21:15:47"
"6","56","398.71","1998","Returned","1991-06-15 22:53:28"
"7","32","54.91","8229","En Route","2008-04-11 02:47:12"
"8","58","22.78","5395","En Route","2002-11-28 20:54:59"
"9","25","339.55","3136","En Route","1970-07-14 12:53:20"
"10","76","218.87","1753","Returned","2021-06-18 05:47:45"
"11","77","407.04","5741","En Route","1991-07-11 04:39:33"
"12","46","214.10","4131","En Route","1976-12-19 20:48:17"
"13","60","287.14","4472","En Route","1983-03-11 11:53:59"
"14","64","76.81","7625","Returned","2008-04-28 11:28:03"
"15","67","286.02","8575","Ordered","1991-03-22 15:47:32"
"16","28","74.49","4979","Returned","1971-03-05 21:05:52"
"17","94","212.95","7744","Ordered","1975-07-23 14:39:01"
"18","0","108.99","4031","Returned","1998-03-08 19:26:02"
"19","21","116.26","6881","Returned","1978-08-31 21:30:37"
"20","20","56.90","6351","En Route","2013-03-26 16:24:15"
"21","84","324.69","7069","Returned","2000-01-06 08:24:38"
"22","45","307.20","2531","En Route","1979-11-17 16:00:13"
"23","95","379.33","4672","En Route","1970-04-04 22:32:25"
"24","45","371.56","8106","Returned","1986-04-25 21:49:59"
"25","66","115.16","2254","Ordered","1993-04-27 00:42:26"
"26","68","9.50","6890","En Route","1995-10-15 12:34:00"
"27","51","180.44","2792","Ordered","2016-08-23 20:57:26"
"28","93","486.03","371","Ordered","2005-05-03 14:01:06"
"29","39","66.43","679","En Route","2003-10-16 15:15:05"
"30","5","215.95","9081","Ordered","2007-01-10 05:54:37"
"31","27","475.97","9329","Ordered","1983-03-17 23:13:59"
"32","35","175.80","3963","En Route","2007-08-21 02:59:01"
"33","0","94.02","379","Returned","2003-09-13 15:27:12"
"34","21","473.40","7004","En Route","2008-07-10 14:22:22"
"35","88","367.32","1676","Returned","1974-06-06 21:33:38"
"36","72","206.44","7408","Ordered","2001-06-05 22:44:28"
"37","86","294.96","2185","Ordered","1999-09-21 20:55:19"
"38","12","374.17","5470","Ordered","2003-01-28 02:14:22"
"39","5","33.41","2937","En Route","1978-01-19 18:07:35"
"40","72","173.08","7537","Returned","2017-08-11 17:41:16"
"41","61","55.93","2641","Ordered","1972-03-13 12:14:27"
"42","18","153.68","4567","Ordered","2019-07-10 17:17:43"
"43","3","163.65","8537","En Route","1999-10-06 08:21:24"
"44","37","257.97","2855","Returned","2007-09-23 01:21:24"
"45","40","343.21","6222","Returned","2001-12-29 18:46:47"
"46","9","392.44","4248","Ordered","1991-07-04 01:36:02"
"47","49","7.39","2256","Returned","2008-03-12 08:12:07"
"48","49","93.91","7180","Returned","1990-08-12 00:29:38"
"49","69","201.53","4978","Returned","2020-07-08 12:24:53"
"50","65","218.39","1445","En Route","2003-05-06 21:56:37"
"51","46","78.37","4383","Returned","2007-04-28 21:59:27"
"52","11","331.29","7900","En Route","2015-11-30 09:25:09"
"53","46","101.11","8385","Returned","2004-09-25 11:59:33"
"54","26","162.04","1452","Returned","1984-02-06 12:27:12"
"55","85","290.49","590","En Route","1977-03-24 10:56:39"
"56","20","290.42","4012","En Route","1999-05-24 11:22:59"
"57","90","272.67","3164","En Route","1999-12-29 07:21:06"
"58","45","462.59","6693","Returned","1970-12-31 00:03:26"
"59","59","235.53","1882","Ordered","2006-05-25 02:56:53"
"60","18","32.50","5215","En Route","1987-05-29 15:38:26"
"61","36","96.48","217","En Route","1996-07-19 19:01:52"
"62","86","400.71","9303","En Route","1982-05-01 08:00:32"
"63","1","65.25","7746","Ordered","1972-02-17 07:46:32"
"64","84","211.40","8931","En Route","1971-06-28 15:18:10"
"65","78","313.11","4451","Returned","2009-12-19 01:40:22"
"66","48","379.70","5019","Returned","1978-03-25 04:12:30"
"67","96","158.63","8747","Ordered","2018-03-07 13:51:35"
"68","84","58.84","4486","Ordered","2009-06-24 04:42:18"
"69","80","2.96","7582","En Route","1975-04-13 06:11:10"
"70","16","274.14","3734","Returned","2006-05-27 08:15:59"
"71","9","172.61","1395","Ordered","1995-09-22 19:49:57"
"72","75","368.05","1129","En Route","1989-10-02 08:01:16"
"73","45","143.63","5869","Returned","1991-12-03 19:16:22"
"74","74","482.49","9189","En Route","2016-09-21 04:24:24"
"75","33","390.00","1197","Returned","1989-05-28 22:02:18"
"76","46","196.07","7058","En Route","2014-11-22 17:28:53"
"77","20","394.16","1129","En Route","2007-02-19 12:13:00"
"78","75","403.17","4166","Ordered","1972-06-07 09:51:23"
"79","63","493.58","5925","Returned","2019-12-24 23:22:17"
"80","97","41.58","3122","Returned","1970-07-26 20:54:26"
"81","21","441.89","9140","En Route","2002-12-15 09:22:08"
"82","80","1.39","1784","Returned","2020-08-27 10:33:05"
"83","88","116.74","6711","Ordered","1993-01-22 01:05:16"
"84","23","429.68","8994","Returned","1993-10-06 18:49:39"
"85","26","111.34","3403","Returned","2006-07-26 16:27:03"
"86","4","181.65","2623","Ordered","2014-04-03 23:27:01"
"87","59","381.36","2678","Returned","2003-12-03 18:33:41"
"88","49","172.69","3254","En Route","1985-02-09 06:06:46"
"89","15","333.04","8860","Ordered","1982-08-25 05:09:39"
"90","63","396.14","3466","Ordered","1977-07-30 21:53:52"
"91","5","381.16","3840","En Route","1979-08-02 17:01:02"
"92","39","378.05","404","Ordered","1981-11-05 10:30:12"
"93","7","295.59","7132","Returned","2018-12-15 11:36:14"
"94","90","9.99","111","En Route","1998-07-27 15:14:18"
"95","82","106.55","6981","En Route","1985-09-02 08:49:58"
"96","27","9.30","894","Ordered","2018-08-22 09:22:06"
"97","12","188.13","9442","En Route","2020-07-02 22:36:46"
"98","78","56.16","2346","Ordered","1975-01-02 19:04:18"
"99","96","346.22","6610","En Route","1984-09-29 19:08:10"
"100","48","34.36","7159","Ordered","1982-03-17 07:02:09"
"101","50","464.96","1761","Ordered","1970-02-10 06:43:16"
"102","87","265.16","3186","Returned","1971-02-04 04:51:19"
"103","61","310.07","4599","En Route","1970-03-01 02:38:58"
"104","87","159.33","6319","Returned","1973-07-29 06:44:40"
"105","51","234.99","5230","Ordered","1988-07-01 14:04:39"
"106","4","196.06","4909","Ordered","2014-12-04 10:37:29"
