0^0^0^1303^1^56.77^1986-10-24 16:18:34
1^1^0^4608^3^56.77^1986-03-03 19:44:05
2^2^0^3396^3^56.77^1972-11-19 03:09:52
3^3^0^3396^2^56.77^2002-12-08 06:49:39
4^4^0^1303^3^56.77^1991-03-05 02:35:59
5^5^0^4608^1^56.77^2011-12-14 14:43:20
0^6^1^1740^1^379.59^2021-01-01 15:37:43
1^7^1^1414^2^379.59^1971-02-27 20:05:13
2^8^1^1740^1^379.59^2016-01-23 20:40:15
0^9^2^1370^2^31.8^2015-03-14 17:22:32
1^10^2^82^4^31.8^2018-10-08 03:13:21
2^11^2^1370^1^31.8^1982-01-14 20:22:26
3^12^2^1370^3^31.8^2003-06-04 19:19:21
4^13^2^82^4^31.8^2006-10-09 02:02:39
5^14^2^2830^1^31.8^1981-09-05 04:42:29
6^15^2^3882^3^31.8^2005-10-31 04:19:03
0^16^3^2595^2^544.95^1992-12-27 23:53:39
1^17^3^2595^3^544.95^2004-12-22 03:15:07
2^18^3^2595^3^544.95^1981-06-09 13:08:20
3^19^3^2595^4^544.95^2014-01-25 05:58:00
4^20^3^136^3^544.95^2012-05-11 17:11:10
5^21^3^2595^3^544.95^1976-01-30 19:27:20
6^22^3^136^3^544.95^2010-01-30 07:49:00
7^23^3^136^2^544.95^2015-08-26 04:16:46
0^24^4^4395^1^30.49^1994-04-09 15:39:18
0^25^5^4612^1^40.38^2013-11-07 13:36:13
1^26^5^957^3^40.38^2003-08-05 20:39:44
2^27^5^4612^2^40.38^2005-03-24 22:49:33
3^28^5^4185^1^40.38^2012-03-23 11:45:24
4^29^5^957^2^40.38^2020-04-10 18:33:56
0^30^6^2224^4^114.75^2005-12-27 17:58:45
1^31^6^2224^4^114.75^2015-03-04 06:40:52
2^32^6^2224^4^114.75^1987-12-31 10:18:50
3^33^6^1800^3^114.75^2009-08-07 12:23:28
4^34^6^1800^3^114.75^1994-11-16 09:57:06
5^35^6^1800^4^114.75^1972-07-11 11:53:19
6^36^6^4095^2^114.75^2005-03-29 14:55:58
0^37^7^4145^1^22.63^2019-01-20 03:17:28
0^38^8^2844^3^45.31^1987-04-10 13:56:50
1^39^8^2844^2^45.31^1980-12-28 15:56:22
2^40^8^2844^5^45.31^1973-05-16 16:54:29
3^41^8^2844^5^45.31^1975-12-24 00:53:29
4^42^8^2844^3^45.31^1981-07-25 16:02:27
5^43^8^2844^4^45.31^1993-12-10 18:10:27
6^44^8^2844^2^45.31^1992-07-14 21:59:31
7^45^8^2844^3^45.31^2017-04-07 03:15:06
8^46^8^2844^3^45.31^2015-09-03 14:44:22
9^47^8^2844^1^45.31^2018-11-01 17:21:32
0^48^9^4721^3^5.04^2013-04-18 12:42:05
